filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol
REST600d_0163_opt.json,2.56969908,SAGE 10 ns (16 REST up to 600K),-138890.5960860623
REMD_0280_opt.json,2.58475094,SAGE 10 ns (16 REMD up to 475K),-138890.5940592082
REST600d_0118_opt.json,2.55192712,SAGE 10 ns (16 REST up to 600K),-138890.56755950316
REMD_0819_opt.json,2.55846108,SAGE 10 ns (16 REMD up to 475K),-138890.5631355647
REMD_0054_opt.json,2.57207841,SAGE 10 ns (16 REMD up to 475K),-138890.55037830674
REST600d_0889_opt.json,2.57834243,SAGE 10 ns (16 REST up to 600K),-138890.52824606432
REST600d_0261_opt.json,2.68225892,SAGE 10 ns (16 REST up to 600K),-138890.5114288231
REMD_0878_opt.json,2.55593405,SAGE 10 ns (16 REMD up to 475K),-138890.49481238477
REMD_0057_opt.json,2.58292395,SAGE 10 ns (16 REMD up to 475K),-138890.456967317
REMD_0265_opt.json,2.55175273,SAGE 10 ns (16 REMD up to 475K),-138890.4354437583
REST600d_0238_opt.json,2.63555134,SAGE 10 ns (16 REST up to 600K),-138890.4233767602
REST600d_0341_opt.json,2.56011602,SAGE 10 ns (16 REST up to 600K),-138890.41525051868
REMD_1001_opt.json,2.64761857,SAGE 10 ns (16 REMD up to 475K),-138890.4119058957
REMD_0947_opt.json,2.55657134,SAGE 10 ns (16 REMD up to 475K),-138890.3756484257
REMD_0144_opt.json,2.55493636,SAGE 10 ns (16 REMD up to 475K),-138890.36081411294
REST600d_0181_opt.json,2.5258438,SAGE 10 ns (16 REST up to 600K),-138890.3501652852
REMD_0971_opt.json,2.51926239,SAGE 10 ns (16 REMD up to 475K),-138890.34035104443
REMD_0453_opt.json,2.55569617,SAGE 10 ns (16 REMD up to 475K),-138890.3402318177
REMD_0881_opt.json,2.52992577,SAGE 10 ns (16 REMD up to 475K),-138890.30583177434
REST600d_0880_opt.json,2.55346232,SAGE 10 ns (16 REST up to 600K),-138890.30512268917
REST600d_0272_opt.json,2.64972616,SAGE 10 ns (16 REST up to 600K),-138890.29520804697
REST600d_0875_opt.json,2.56617681,SAGE 10 ns (16 REST up to 600K),-138890.28797286822
REMD_0933_opt.json,2.5105325,SAGE 10 ns (16 REMD up to 475K),-138890.23897069038
REMD_0952_opt.json,2.51425366,SAGE 10 ns (16 REMD up to 475K),-138890.20209198646
REST600d_0299_opt.json,2.66907965,SAGE 10 ns (16 REST up to 600K),-138890.19988315477
REMD_0110_opt.json,2.50225401,SAGE 10 ns (16 REMD up to 475K),-138890.1860152059
REST600d_0878_opt.json,2.52807801,SAGE 10 ns (16 REST up to 600K),-138890.1332354239
REMD_0945_opt.json,2.55012382,SAGE 10 ns (16 REMD up to 475K),-138890.1214319796
REMD_0067_opt.json,2.49768714,SAGE 10 ns (16 REMD up to 475K),-138890.08902113975
REST600d_0845_opt.json,2.55762173,SAGE 10 ns (16 REST up to 600K),-138890.07176464226
REST600d_0152_opt.json,2.56175493,SAGE 10 ns (16 REST up to 600K),-138890.0539245614
REST600d_0874_opt.json,2.57487236,SAGE 10 ns (16 REST up to 600K),-138890.03545697153
REST600d_0851_opt.json,2.57504392,SAGE 10 ns (16 REST up to 600K),-138890.02545447805
REST600d_0137_opt.json,2.62180873,SAGE 10 ns (16 REST up to 600K),-138890.0226683381
REST600d_0132_opt.json,2.67692214,SAGE 10 ns (16 REST up to 600K),-138889.99448063382
REMD_0221_opt.json,2.57935079,SAGE 10 ns (16 REMD up to 475K),-138889.99133681372
REST600d_0146_opt.json,2.59902635,SAGE 10 ns (16 REST up to 600K),-138889.9820434054
REST600d_0273_opt.json,2.7125892,SAGE 10 ns (16 REST up to 600K),-138889.97705470887
REMD_0965_opt.json,2.51640427,SAGE 10 ns (16 REMD up to 475K),-138889.97607579484
REST600d_0864_opt.json,2.55034158,SAGE 10 ns (16 REST up to 600K),-138889.97589381723
REST600d_0858_opt.json,2.56513398,SAGE 10 ns (16 REST up to 600K),-138889.9596664345
REST600d_0863_opt.json,2.57915377,SAGE 10 ns (16 REST up to 600K),-138889.94726685665
REST600d_0131_opt.json,2.71765201,SAGE 10 ns (16 REST up to 600K),-138889.92623275498
REMD_0927_opt.json,2.53814941,SAGE 10 ns (16 REMD up to 475K),-138889.9211875826
REST600d_0248_opt.json,2.70149468,SAGE 10 ns (16 REST up to 600K),-138889.91902267656
REMD_0956_opt.json,2.62418167,SAGE 10 ns (16 REMD up to 475K),-138889.90694312833
REST600d_0130_opt.json,2.71540239,SAGE 10 ns (16 REST up to 600K),-138889.88244517698
REST600d_0891_opt.json,2.56883966,SAGE 10 ns (16 REST up to 600K),-138889.87913192943
REST600d_0857_opt.json,2.51553045,SAGE 10 ns (16 REST up to 600K),-138889.8789813273
REMD_0955_opt.json,2.53931976,SAGE 10 ns (16 REMD up to 475K),-138889.86828229882
REMD_0455_opt.json,2.58918587,SAGE 10 ns (16 REMD up to 475K),-138889.86643742237
REST600d_0868_opt.json,2.59006719,SAGE 10 ns (16 REST up to 600K),-138889.86289827162
REMD_0868_opt.json,2.51608168,SAGE 10 ns (16 REMD up to 475K),-138889.83388225545
REST600d_0192_opt.json,2.57889836,SAGE 10 ns (16 REST up to 600K),-138889.83317317028
REST600d_0133_opt.json,2.67923872,SAGE 10 ns (16 REST up to 600K),-138889.80552512372
REST600d_0292_opt.json,2.57307611,SAGE 10 ns (16 REST up to 600K),-138889.7995261377
REMD_0942_opt.json,2.54044139,SAGE 10 ns (16 REMD up to 475K),-138889.79532810248
REMD_0944_opt.json,2.52013143,SAGE 10 ns (16 REMD up to 475K),-138889.78331130513
REST600d_0334_opt.json,2.60949992,SAGE 10 ns (16 REST up to 600K),-138889.78280302286
REST600d_0871_opt.json,2.62081028,SAGE 10 ns (16 REST up to 600K),-138889.76459898675
